C30ECK10	C30ECK11	C30ECK12	C30ECK46	C30ECK47	C30ECK48	C30ECK83	C30ECK84	T30ECK28	T30ECK29	T30ECK64	T30ECK65	T30ECK66	T30ECK100	T30ECK101	T30ECK102
LOC100740276	4.85518440278916	5.11992593142572	5.04955797514531	5.02659824671104	4.44813904346102	5.28783499602659	5.81978025176256	4.91915637102354	4.80141848036414	4.93867773852725	5.53273975264107	5.04801877309456	5.30565747200678	4.95849116553585	5.5954793589034	4.75203707634504
LOC100740157	7.75148351389569	7.55166557483303	7.38405186835349	7.08942720260759	7.25437890166568	7.35724116443545	7.68744135837115	7.3575014576383	7.63749469424695	7.66305903078252	7.49559792271897	7.1135977697766	7.44578778362559	7.32456211802315	7.33669967469997	7.40228426118594
LOC100742884	6.86459240519833	6.63798648569375	6.57946196083579	6.95758588827927	7.04824961988409	6.91070969215721	6.63613683978697	6.69507604524315	6.69364937496173	6.79046938194901	6.70976840901729	6.58692632176682	6.60792267031814	6.92629359630546	6.54066322557113	7.16372155886524
LOC100740399	6.63228365022509	6.4144492645553	6.71877334510607	6.29437278414384	6.36709167158379	6.53149479306427	6.56967168817107	6.38789707056009	6.15306525719761	6.40510887438259	6.2890685233109	6.58692632176682	6.47796788539685	6.53615292719158	6.27649112289597	6.2734345714952
LOC100740519	8.190621343992	8.11936541170181	8.29394809546001	8.13973219956165	8.3837302172885	7.75747694587728	7.86405978185331	8.18998337051389	7.93244143512551	7.98447665980037	7.96849147701492	8.06485335170002	8.75917460950903	8.17283942303929	8.11607981264086	8.00363873898434
LOC100743001	8.1102226373124	8.0576720812708	7.81206544894052	8.2582142756661	8.04525951465618	8.24663229144309	8.30581133384056	7.96971505193685	8.46791906872332	8.30600216496869	8.12083781000926	8.14558651360068	8.33680579615152	8.25376981873955	8.10653250956153	8.20837238291375
LOC100740639	6.90874626410406	7.08280054066655	6.7406242503191	7.00981382334135	6.93224375710106	7.10377936146274	6.71474225187349	6.97205739757565	7.15916182103591	7.14320113736294	6.87240621938136	7.05794732005997	6.68009042383946	6.9923200383199	6.98033583209093	7.38531900964555
LOC100743123	7.93956499106719	7.67391599833478	7.226676127743	7.50395352525266	7.76237043650913	7.99293011249166	7.73188536753294	7.73324474031034	7.44109500914044	7.587678080109	7.85702552502179	6.75713601992121	7.72351402179251	7.4913579772252	7.80930301043309	7.73806837790362
LOC100743242	8.63497617305481	8.51268253037177	8.22100844777066	8.1936089492373	8.27183697266846	8.3312324122599	8.16786380744408	8.61550784580329	8.10203049652823	8.30210668497784	8.66658009251734	7.94202442671058	7.94614037453172	8.29682484398459	8.6464993824809	8.33162630382682
LOC100740882	6.3327193695693	6.26649885893699	6.47755036111833	5.89916934609862	6.07355052667493	6.26717250243052	6.56967168817107	6.17545860938726	6.34339530802095	6.49478247671782	6.36086186492521	6.07029318460661	5.80115731127024	6.44194159561596	6.27649112289597	6.43918363756163
LOC100740760	7.41193173865432	8.258284018025	9.04563742278094	7.08942720260759	7.14484470125284	7.57156698631139	7.4413661172367	7.9491471502563	7.8352090446522	8.20109791084154	7.49559792271897	6.64614534716851	6.91545422908377	7.25536711568773	7.26894399073176	7.16372155886524
LOC100741004	9.6383693835835	9.31867288888398	8.80813370553206	9.13459852188498	9.19158008462189	9.42133046860565	8.86016811052944	9.35413450950384	9.04483709344229	8.77316925985046	9.35380263122666	8.49743848732026	9.02025028172846	9.06339338507302	9.31236887820254	9.10650875484377
LOC100741124	7.72761882273065	7.9931832567298	7.68696963369963	8.00548234197949	7.90785051387905	7.81273663287284	7.09723263204543	7.88559304860941	7.0008206866115	7.54176487430223	7.72970857110611	7.3042884823689	7.70142455861489	7.42229895465196	7.49293670953608	7.3242590988006
LOC100741243	6.77167447766326	6.65257142176733	6.26117330438239	6.0820040817432	6.27016846828948	6.1704930069741	6.44445111960471	6.45136138310524	6.26541814300579	6.30857562400946	6.5545732151597	6.07029318460661	6.09727072868817	6.5209232935137	6.54066322557113	6.25357541003318
LOC100743364	10.3453650867386	9.85638638783585	9.74912697961142	9.97586480708315	9.92935297098389	10.2086753017188	10.1199296427988	10.325030939484	10.1914161724588	10.0519729052454	10.0308624087936	9.786069906879	9.98308693628822	10.06215428067	10.213298025347	9.93138343859613
LOC100741485	6.77167447766326	7.23232203940712	7.37727189273413	6.92525628467608	7.0030271724835	6.76124705080704	7.08569017240021	6.69507604524315	6.96994976468306	7.01287913278746	6.78730107810894	6.95474418006869	6.58295385257168	6.88041575814136	6.69514602688045	6.89944603277544
LOC112214042	5.81156006932039	5.55508338687424	6.22925233704336	5.92370860141942	6.12012438547928	6.56863903154874	7.18623848430935	5.91693595593015	6.57316091275389	6.04841901928458	6.76195607010081	5.97453361499681	6.65647278165616	5.84407544272411	5.80924615309142	6.77204866454366
LOC100741605	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102	4.44813904346102
LOC100741724	5.86322212926844	5.75838778951541	5.8733363082671	5.51324647927919	5.57061823335472	5.32762157090499	6.02315851681129	5.94871239679714	6.02902099953277	5.91644661926438	5.84650727493793	5.79415089403729	5.80115731127024	5.4124412900069	5.52473030203871	5.63244551717338
LOC100741961	8.86941855476293	8.73846195083084	8.85455812949264	8.71564680884485	8.80576098195083	8.99570888545542	8.93430379567621	8.92933949726429	8.90904187995465	8.96476273772416	8.90812976821165	8.88879830140893	8.54822235371204	8.84941145369772	8.72942303255597	8.60545256348845
LOC100742082	8.03957459848258	7.48236437190843	7.60852510894095	7.52530198616028	7.8274660106042	7.67303375805275	8.05632644249437	7.71706701092752	7.68492231998125	7.61325621711286	7.93596102780786	7.35099734912221	7.56108350156726	7.48385091411274	7.44021870764572	7.79658849325591
LOC100741842	10.0727895685059	10.1401997475088	10.403178323703	9.91601567076942	9.95699961620104	10.1538464549215	10.1350184046005	10.3933704506404	9.92464394560265	10.0542805805956	9.96836811600287	9.72424680631254	9.81764521612071	9.79249147622233	10.1267400599812	10.0042390837367
LOC100742284	5.46798320652904	5.43427634076821	5.93741324210831	5.26090392977369	5.25159992407605	5.32762157090499	5.33467110855993	5.74245602780134	5.68670305635347	5.41571304710718	5.27605719414563	5.57616011197033	5.58591576950757	5.36906102891798	5.52473030203871	5.5596311265516
LOC105682175	5.7290110199586	5.72724745741592	5.47553844416727	5.39666721124839	5.67883019143312	5.43633237501387	5.68360508990959	5.62171664765507	5.64074637623845	5.41571304710718	5.63767300753029	5.47297811076934	5.64423273996876	5.53079887187956	5.36383578868347	5.85220705593889
