st_gene_id	gene_id	gene_symbol	fpkm_A11A	fpkm_A12A	fpkm_A13A	fpkm_A15A	fpkm_A16A	fpkm_A17A	fpkm_A18A	fpkm_A19A	fpkm_A1A	fpkm_A20A	fpkm_A2A	fpkm_A3A	fpkm_A4A	fpkm_A5A	fpkm_A6A	fpkm_A7A	fpkm_A9A	fpkm_B10A	fpkm_B12A	fpkm_B13A	fpkm_B14A	fpkm_B15A	fpkm_B16A	fpkm_B18A	fpkm_B19A	fpkm_B1A	fpkm_B20A	fpkm_B3A	fpkm_B4A	fpkm_B5A	fpkm_B6A	fpkm_B7A
57573	57573	ZNF471	5.5	8.68	3.54	6.76	6.86	5.55	6.95	6.22	3.54	7.16	5.84	7.76	4.27	5.83	2.64	5.57	6.54	5.26	3.47	5.63	5.66	4.86	5.33	4.7	4.54	5.58	5.8	4.1	4.91	7.54	2.5	4.38
8563	8563	THOC5	6.98	9.28	7.44	10.95	6.51	8.63	8.44	9.49	6.61	7.62	8.45	9.5	8.13	8.31	7.72	8.27	9.18	10.71	9.37	8.84	11.51	9.59	10.4	8.52	10.79	12.42	7.76	9.28	7.96	7.95	7.77	10.71
8434	8434	RECK	5.23	4.46	3.89	5.82	6.74	5	3.97	5.97	5.42	5	4.07	5.86	4.21	3.84	3.46	3.98	5.34	5.31	2.78	5.1	4.51	6.9	5.2	4.99	3.98	4.95	4.34	5.94	6.34	3.94	5.04	5.81
10309	10309	CCNO	0.21	0.46	0.14	0.13	0.52	0.99	0.13	0.76	0.17	0.23	0.3	0.49	0.17	0.17	0.05	0	2.84	0	0.04	0.43	0.24	0.62	0.04	0	0.08	0.04	1.12	0.13	0.05	2	0.13	0
7652	7652	ZNF99	0.06	0.13	0.03	0.14	0.19	0.13	0.1	0.14	0.16	0.12	0.14	0.09	0.14	0.22	0.11	0.17	0.24	0.18	0.17	0.18	0.16	0.07	0.16	0.11	0.15	0.12	0.18	0.02	0.17	0.11	0.14	0.05
80176	80176	SPSB1	0.91	1.53	1.18	1.15	2.02	1.83	1.31	0.81	1.56	1.19	2.51	1.34	1.5	2.21	0.88	2.42	1.84	4.37	3.36	2.45	2.58	4.38	7.05	3.05	6.57	3.03	2.67	5.06	1.83	3.26	1.55	1.99
386678	386678	KRTAP10-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0.05	0.05	0	0	0	0	0
105371932	105371932	LOC105371932	1.24	1.51	2.6	1.42	1.53	1.34	1.26	1.82	1.22	1.92	0.88	1.41	2.04	1.46	1.98	1.61	1.97	0.73	0.78	1.1	0.35	0.67	0.35	0.59	0.99	0.76	1.11	0.1	0.97	0.99	1.2	0.44
1387	1387	CREBBP	7.83	13.05	4.04	9.18	8.25	7.9	9.01	10.41	4.27	7.93	8.82	12.45	6.28	9.62	3.15	7.59	8.62	7.37	8.09	11.75	17.28	5.98	9.44	9.22	9.27	12.94	10.58	4.45	10.51	12.78	2.07	3.39
55854	55854	ZC3H15	35.53	32.84	41.83	38.61	45.52	35.05	36.1	37	36.26	34.12	31.55	35.82	42.53	30.51	31.25	29.88	36.06	34.16	31.45	31.66	28.97	44.36	27.42	37.66	32.72	37.26	36.13	40.76	41.78	40.36	44.13	33.5
