Accession,Label,Treatment,Metal-Treated Group,Cold-Treated Group
GSM6746158,CT_R1,Control,0,0
GSM6746159,CT_R2,Control,0,0
GSM6746160,CT_R3,Control,0,0
GSM6746161,CC_R1,Cold-Acclimated Control,0,1
GSM6746162,CC_R2,Cold-Acclimated Control,0,1
GSM6746163,CC_R3,Cold-Acclimated Control,0,1
GSM6746164,MT_R1,Metal-Polluted,1,0
GSM6746165,MT_R2,Metal-Polluted,1,0
GSM6746166,MT_R3,Metal-Polluted,1,0
GSM6746167,MC_R1,Metal-Polluted Cold-Acclimated,1,1
GSM6746168,MC_R2,Metal-Polluted Cold-Acclimated,1,1
GSM6746169,MC_R3,Metal-Polluted Cold-Acclimated,1,1
