C00ECK5	C00ECK6	C00ECK40	C00ECK77	C10ECK7	C10ECK8	C10ECK43	C10ECK44	C10ECK45	C10ECK79	C10ECK80	C10ECK81	C30ECK10	C30ECK11	C30ECK12	C30ECK46	C30ECK47	C30ECK48	C30ECK83	C30ECK84	C120ECK13	C120ECK14	C120ECK15	C120ECK49	C120ECK50	C120ECK51	C120ECK85	C120ECK87	C720ECK16	C720ECK17	C720ECK52	C720ECK53	C720ECK54	C720ECK88	C720ECK89	T00ECK22	T00ECK23	T00ECK24	T00ECK59	T00ECK60	T00ECK94	T00ECK95	T00ECK96	T10ECK25	T10ECK26	T10ECK27	T10ECK61	T10ECK62	T10ECK97	T10ECK99	T30ECK28	T30ECK29	T30ECK64	T30ECK65	T30ECK66	T30ECK100	T30ECK101	T30ECK102	T120ECK31	T120ECK32	T120ECK33	T120ECK67	T120ECK68	T120ECK69	T120ECK103	T120ECK104	T120ECK105	T720ECK34	T720ECK36	T720ECK70	T720ECK72	T720ECK106	T720ECK107	T720ECK108
LOC100740276	4.40882016174014	4.39476333021432	4.13785475238263	4.11094766343778	4.17916290897179	4.40611787523321	4.26509105926659	4.06632384708652	4.84964072128382	4.2088375188041	4.57023732578265	4.15807403692852	4.04849753354923	4.4107851049758	4.31635103463405	4.28362511337879	3.49126311067643	4.63353793411678	5.32950158082178	4.13805840509769	4.11093034257346	4.65782775148899	4.21859937552946	4.82864067030321	4.03360238516803	4.19149564027935	4.51184250651971	4.38331669576381	4.13182178623689	4.0594645236928	4.39179637322651	4.21919553656352	3.88877031180207	4.76395760910857	3.49126311067643	4.30089141559773	3.92736842000694	4.28603929057209	4.2635776749993	3.49126311067643	5.03443564508215	4.32974532975807	4.31496360652916	4.0702185017442	4.39705606958008	4.11765864089386	4.62185360312288	4.17704883389555	4.42985474481553	4.25237644903951	3.97714497360811	4.16416786734886	4.95731986363867	4.31511525344744	4.65750609939676	4.19123172273026	5.03578953256023	3.90944594025446	4.10863371124644	3.49126311067643	4.5487796889657	3.49126311067643	3.49126311067643	4.22375699318784	4.24474554363035	4.04993291113928	4.44693140737816	4.28563170319533	4.41466496824185	4.54598382863278	4.29073036098306	5.37194218711717	4.10654733871728	3.49126311067643
LOC100740157	7.31554505281664	7.34842732691799	7.06712488167002	7.10273836010135	7.35121392618207	7.00297022791722	7.07552034956366	6.80587262701858	7.12507833569362	7.37993025772628	7.07905819303844	7.45804940315926	7.57622026966558	7.36952207245177	7.18575754212323	6.84933957045156	7.03157723440178	7.14869008716791	7.51965783568087	7.15245532299311	7.38455573714471	7.50261419031156	7.17216430689473	6.66757901918519	7.29976820560059	7.47957432977847	7.56977316670801	7.64475089707778	7.84796573957897	7.20053763739155	7.00349624133082	6.92895519110815	6.93041647713377	6.94489050307762	6.91305033947753	7.69551897555635	7.45128659224077	7.12327312814715	6.87186187954923	7.30548959403509	7.25712215969383	7.46973894263539	7.37160156777653	7.26509227581679	7.46239822874583	7.43946184648887	7.36315946297702	7.10945332863729	7.15367131536946	7.57383697321695	7.46179119268252	7.48829452369985	7.30466312786747	6.88421458646346	7.24779630765912	7.11433686890872	7.1226176268366	7.20189276158289	6.94099679159041	7.65921553911191	7.73476306214329	7.40420379838165	7.1452004748361	7.24768272282551	7.23168338059609	7.78125501487505	7.65823281187984	7.03428493298808	7.10718411415274	6.98762844683532	6.97718233764931	7.52679130064186	7.42010091666501	7.3160415077024
LOC100742884	6.90960942044916	6.47008580764266	6.20166365534368	6.32012282785766	6.44366699537305	6.40770646492115	6.53450857222501	6.24883504111164	6.16972551453953	6.01232955537852	6.13138091246296	6.26855729869757	6.58362790330353	6.33009413966389	6.2626588397946	6.69880580193204	6.798522987683	6.64295982142434	6.32879772395284	6.39564947441894	6.77902458214447	6.68928000617001	6.36208962605396	6.33237344277561	6.05340825652863	6.5768216621113	6.12013674802628	6.59440588782287	7.04391603921418	6.53434273671907	6.53342129593712	6.76892863790886	5.83854137555503	6.20914454552573	6.27558487999024	6.51402210681483	6.65771148983831	6.30794686733495	6.63410127929375	6.34464921851753	6.43772435346598	6.88638831216298	6.81396752709214	6.42929814388666	6.54343966045092	6.56022715444918	6.4538730506337	6.28222265773718	6.51346827582299	6.82268681910877	6.39369500869145	6.50541157839023	6.41182202971308	6.27378205369909	6.29059923717382	6.66289483314935	6.20769250215403	6.93443562104975	6.69855403400825	6.85459719503724	7.19378969598993	6.3850773526283	6.35459476348514	6.36037188408105	6.08085329984427	6.61526409960549	6.43519900371654	6.54526780757013	6.72982335673739	6.85350180914405	6.31013458341153	6.32633167794603	6.61521889753966	6.26455463010342
LOC100740399	6.53710275241464	5.99537580234882	6.15477463675348	6.30058037139588	6.20465789605518	6.00356723687123	6.09501445465183	6.1951314708289	6.21784454083077	6.19579610867087	5.86301923384879	6.06754747039926	6.31292443148528	6.06405913096563	6.42673109739395	5.91640647515142	6.00103988642743	6.19952699489157	6.25021969250114	6.03066319944326	5.94289914874344	6.45044958717705	6.13586746294514	6.07258052101022	6.10630999880905	6.40056014316289	6.14080275258946	6.36368606582795	6.41334373902543	6.07555947363897	6.17662136557863	5.81531305908222	5.81581882599649	6.40025446447407	6.00605619287951	6.13707892206085	6.20120443067077	6.39206960264672	5.98643073868195	5.90557352618901	5.90128337511508	5.79094372750778	6.46103507597879	5.97012435252606	6.24387843758717	6.1337950232496	6.13648854062609	6.0515171763672	5.59141889043931	5.82163222728358	5.74443306259806	6.04989922646421	5.91013928416918	6.27378205369909	6.13630533968621	6.20690370421014	5.8904703172293	5.89169286965849	6.23212675207479	6.44409597251401	6.05288103651902	6.13547137825112	5.7985766711852	5.97573640765526	5.85704401128634	6.20373155909031	6.382130017587	5.99151861054148	6.05183557412978	5.85818096235237	6.05844879152376	6.32633167794603	6.27838775713576	6.06372000913451
LOC100740519	8.23825975182246	7.98215420526766	7.86106677780881	8.17803961168086	8.25774465247132	7.9031388108236	8.25920753808112	7.89671734807765	8.12057869861215	7.86738847911674	8.14106052075227	8.1972105076557	8.04938561370158	7.98594125725009	8.17434665404521	8.00439611367853	8.259616942443	7.58965483727528	7.71197368417281	8.05958331310595	7.85527111544817	8.02738708673998	8.10347232332042	8.13664311222299	8.07493513313065	8.11900166605368	7.84053207165888	8.16419700282248	8.36013748811089	8.13848339997207	8.16162136773372	8.16578617939908	7.86601819842005	7.9314295439696	7.77327158279151	8.12384637943978	8.02319659287118	7.76760195574015	8.3279108882867	7.81816795770721	8.12723933226833	8.58758583078594	8.15834935965207	7.86432205494616	7.81128165056808	7.97962007489107	8.05232912458504	8.06138757925607	7.92967566745589	7.99901188456608	7.78273822539093	7.83731030509259	7.82074325869288	7.93237227912516	8.65767867390647	8.03983454526406	7.97344959645142	7.85936072439609	7.9346090857965	8.02195672993748	8.19051656510767	8.13903201877127	7.97673018069344	8.18281424377406	7.88810085954484	8.24295695490443	8.23596770099152	7.70290526756373	8.17476213906246	8.07599666553772	8.29621208555192	8.0428894195534	8.26982855463502	7.92157267263497
LOC100743001	7.57878145069227	8.18809200233776	7.9621878690446	7.71009534169501	7.76367981597749	8.03353831160025	7.72404623638711	7.93999766539086	7.92886332625561	7.91919944108584	7.7232617422984	7.86712922938201	7.96346358730212	7.91978115310752	7.65654703048541	8.13083245285022	7.89870893204858	8.11623623227743	8.18591911305171	7.82329196475004	7.65814300596569	7.76611251469294	7.88285995896222	8.1097567062498	7.80037598113444	7.58010607531523	7.95319907421953	7.92563071269208	8.12382038530295	8.14751597499815	7.98701176307361	7.62424643481815	7.91316298486503	7.89220378488333	8.06484252429167	8.20322555050543	8.14977102206415	8.40210020533541	7.71430797515534	7.97985567824571	8.09022609071114	7.71554695522246	7.48560456187905	8.02065410482217	8.1742333868359	8.54782843406339	8.06545735569269	8.24112121141002	8.28410914853702	8.1641111260145	8.35434104637504	8.18122284560263	7.98441209277725	8.01891364014812	8.21277868836368	8.12614665832971	7.96322704618461	8.07872591448511	7.72191296327432	8.11231057799619	7.74545046566131	7.88108486352956	7.92361039212518	8.12777776919629	8.25760535410675	7.98014100654881	7.72974571717451	8.13324589002334	8.40750341674852	8.16303855132554	8.01382427921634	8.07857086509272	8.1197119339882	7.77646471965105
LOC100740639	6.5737039616668	6.70115662230791	6.83318972725942	6.70737792554653	6.51500929691308	6.48631819769595	6.63546628743162	6.78209018199526	6.99534159817839	6.9507362600781	7.16490568786682	6.3145410135737	6.63450830039766	6.84481029887532	6.45228911615257	6.75861699232996	6.66581475471957	6.86361512173023	6.42114849493493	6.71670719257229	6.35833852486357	6.74900588344878	6.61582443124713	7.13866164389326	6.41493583290965	6.52408733981795	6.78548410501291	6.96619916414271	6.81553367531548	6.68003768871246	6.80572357736851	6.38121317495048	6.96083494699415	6.59675605159066	6.86565228934449	7.04229987961617	7.01340418601741	7.0225790221752	6.66610745154278	6.83744458013559	6.47150805485386	6.81743257634738	6.40995052922731	6.92458052542154	7.03846302751909	7.03731729710835	6.8714966751828	6.97633429753375	6.5903683451867	7.18463487317843	6.92941001076216	6.9099298062152	6.60094429515539	6.8209036317926	6.37553290131236	6.73864998445804	6.71991636388842	7.18301157747338	6.75613745842097	6.59464504907704	6.5758919662193	6.87141375406361	6.4644507115148	6.47884976201648	7.07157519506853	6.52319277849661	6.95210929065059	6.89879848185849	6.83094834581888	6.78135382427447	6.82631979474467	6.8565822304933	6.86088392189032	7.0486231300321
LOC100743123	7.71462501948524	7.20650155103812	7.2751470432614	7.3287325868535	7.32789377195249	7.23850903282881	7.2812146183008	7.2652347315824	6.62482040062024	7.34237619707816	6.94944071625253	7.252571982581	7.78007244005411	7.50382079573833	7.00950885110601	7.31367571913778	7.59285424729114	7.84461387726239	7.56822180881234	7.56685705819376	7.33813026974743	7.4957098994067	7.23912209972849	7.15196291547843	7.28489242479854	7.23507946536955	7.0228423935373	7.42552787077394	7.87598073121213	7.60082023094767	7.15879378688418	7.23182468654235	7.21716235901381	7.10128110424186	7.51277606981857	7.6083316463068	7.68048074890798	6.87132734251444	7.46673129423806	7.76654198620584	7.42840622486128	7.88766162013878	7.18148630946356	7.49629173522572	6.6803227474987	7.3175839029367	7.01463838184228	7.65996908844288	7.02211329038455	7.15231455127561	7.2451442409771	7.40557182104933	7.70025039991675	6.47394227470756	7.55328250501565	7.29979235683646	7.64272515640818	7.57165362922076	7.11550928038447	7.26425898101904	8.04255483339583	7.48283855172037	7.43138589251488	7.5970633799955	7.69354671511483	7.2177032278088	7.81110623383558	7.35670804354606	7.44532567404161	7.55432198165905	7.19477157701521	7.47406784579407	7.72961275676873	7.62398215514569
LOC100743242	8.49050118007026	8.19559673394085	8.26520226474035	8.45015884107706	8.4167009041432	8.07589372721875	8.3819387541242	8.09638149447119	7.8033053483358	7.93606262250708	7.78937926326512	8.16063533227544	8.51949652430103	8.40383465489859	8.09667254816329	8.06196690860632	8.14085283139595	8.20617684304422	8.03890110137003	8.51018035467431	7.98115393229576	8.31641105085565	8.1487674897092	7.95971015453865	8.33803784284902	8.28462006517131	7.85891978394594	8.42579499567386	8.87513672879523	8.25588272540224	8.00749369549726	8.09027370529129	8.07388713783678	8.26972779637133	8.00818435594753	8.36594624842034	8.68110528317184	7.98960304502733	8.22012067430919	8.20967028020334	8.50998877283385	8.48740345187362	8.36720505584583	8.13829520291032	8.1742333868359	8.21251844448191	8.06545735569269	8.1779401167242	7.92234877353707	7.98079830425655	7.96517147757013	8.17708352471802	8.56253229498742	7.80009598855172	7.79485131896749	8.17194976945854	8.5354173005843	8.209883168365	8.08130785381003	8.41698863247076	8.60797155704994	8.00590899833901	8.05783758823674	8.24054568272731	7.94443834130376	8.74628301009538	8.08074965396097	8.1570403836392	8.28924538637723	7.99525700854871	8.44677727888733	8.16408272648894	8.65174000147027	8.19223562845153
LOC100740882	5.88661490153557	6.13026051721025	5.91177151657971	5.75093286480362	5.70605180543991	5.76702229969344	5.89396490513988	5.9344951319382	5.83877936748486	6.13733120589522	5.90477437514208	5.86350287888913	5.95581069995147	5.88498826576248	6.14135881032235	5.42727946856715	5.64230065840968	5.88165533599608	6.25021969250114	5.77221863712014	6.33933177239678	5.88664371623587	5.73332343448221	5.78707654924084	6.03530818853823	5.65458617938336	6.3320026066047	5.95115525487334	6.03639434699574	5.64387606975049	6.11996956064115	5.73489529909394	5.7691757086781	6.29929220347688	5.84820927155146	5.85480882651308	6.15898801455475	6.17132422309948	5.98643073868195	5.80305886445374	6.08972720209682	6.41063508945459	6.0728770009079	6.11488500068205	5.6002555126264	5.96482396929343	5.91561368513454	5.79706838474608	6.10260935739727	6.10217252565811	5.97668935712657	6.15727505630495	5.99710441068495	5.64702746164816	5.30215113670727	6.09448029727888	5.8904703172293	6.09192291390075	6.05727209160293	6.46164643584911	6.0170781067077	5.69899388796529	6.00314008565278	5.77435792647213	5.9358387687271	6.25412562907696	5.98837615809526	5.87774344700648	5.86933203468422	5.76478551989661	5.72429851691522	6.19982834919381	6.09600009155849	5.69258325813568
LOC100740760	8.90600945642863	7.12197133091685	6.6562556086913	6.70737792554653	7.95802821470074	7.7544965973393	7.64958824149494	7.96640034457535	8.19886587425491	7.22339959038224	8.80470209847448	7.14385190700416	7.20290505835172	8.13427869414468	8.96349525029981	6.84933957045156	6.90815902300466	7.3861092763539	7.24852800296299	7.80110665852909	7.76008956127535	8.43273167721045	7.32963430860938	6.20859450628769	7.11012146177339	8.32168441529329	8.40050730853987	7.8395298856456	7.3143579508188	6.46275831148362	6.8634855525583	8.19010090651662	7.27463524180815	6.1713680680361	7.0605001872505	6.84171785514475	8.41811968449261	6.21838459436775	8.22544085433453	6.46463197795428	7.26666791233118	6.47648379910982	7.08004384720069	7.24767924097162	7.95833333132075	6.41983071390628	7.92123889898729	6.89426148875621	6.79865595976807	6.83636411797016	7.6774757100405	8.06952789371692	7.30466312786747	6.34375438514035	6.64901302544995	7.03681111942412	7.04681552255099	6.93443562104975	8.55675133268794	6.71612716482507	7.5397146346644	8.64864400431741	7.1728919321701	8.57932478798268	6.2428315403785	6.64049810273466	7.68006357482207	7.65350386661488	6.99220017700422	7.7547297544343	6.70777703841057	7.2828089060359	6.94506061762106	8.18620558903917
LOC100741004	9.39119376320289	9.42692319779327	8.9701827759248	9.39062686773235	9.38657616995195	9.11301091602536	9.17401114048649	8.829467971076	8.7754756484792	9.3472281531317	8.69995243069748	9.1045104822355	9.55923369425338	9.24387232665947	8.7161226660673	9.05006366847172	9.10439740945322	9.34378127348626	8.76938966795332	9.27848405186409	8.77571576988939	9.42652113750233	9.31800156304285	9.0726506942442	9.15222488192178	9.24597326920393	8.50913287455494	9.16510521890256	9.41011350368315	9.19245259813622	9.0499306203899	9.08157526253262	8.98280571190291	9.14574826842791	9.2318753857869	9.04326523686362	9.22642191409069	8.46066520384655	9.17725228782856	9.41996776042587	9.40693425539919	9.57853923787474	9.36375355291977	9.1222849383684	8.53239374950136	8.68635532380702	8.71650841127607	9.06781686204592	8.21986844952463	9.02772982675893	8.95817288669519	8.67349458407564	9.27683206357438	8.3927580034093	8.92981042133299	8.97628700342629	9.22791700515829	9.02200270894452	8.88831776623949	9.16384525065741	9.41803435736279	9.3405471330624	9.25325314384942	9.28656691663274	9.26151940069759	9.36455124289238	9.47398356867612	8.70888177589643	9.14856627356089	9.31586569173574	9.19579473836175	9.24505255837866	9.42086516637673	9.30511675531997
LOC100741124	8.19252875703852	8.15382755385124	7.1319884058089	7.54846140340554	7.64313307812298	8.26345348853687	7.79482952557963	7.96115848056954	7.23252220610053	7.10860972441353	7.40932200511386	7.76514394020017	7.55021413753643	7.85042615436456	7.52013499580919	7.86035259993156	7.75067086977402	7.64976315356651	6.86217845751673	7.73241578502024	7.65814300596569	7.85500020087188	8.0567037530695	7.65922318642941	7.20018301443222	7.4463025959197	7.31789694043747	7.57907729493416	7.47899996863602	7.98566635908591	7.62531102947031	8.02145976175371	7.35292252422756	7.89220378488333	7.39590199085788	7.25304514591501	7.59004367174445	6.98290102128886	7.35432352486645	8.15556749854293	7.24751212996775	8.34543975803484	7.54522326330345	7.66942836183963	7.46239822874583	7.18432783296008	7.37378271431984	7.74392225350355	6.87712208597331	7.08538709938293	6.74934718384038	7.35501085851091	7.56179292761268	7.09925454830693	7.52916080555752	7.22324418575883	7.29615913536502	7.11488500236003	7.72191296327432	7.71802265798784	7.58805331137906	7.80674441303044	8.0229148852707	8.05453988185817	7.34797029514946	6.95325729486588	7.14309847906099	7.62814986295924	7.60274417926953	7.94699824109001	7.64291672626902	7.77201198028493	7.47749489026212	7.72741645690365
