region,totalPop,adultPop,over65Pop,percBelowPoverty,landSqMi
Alabama,5108468,3977628,914733,0.138,50645
Alaska,733406,557899,101611,0.076,570641
Arizona,7431344,5848310,1382386,0.111,113594
Arkansas,3067732,2362124,542356,0.122,52035
California,38965193,30519524,6155747,0.102,155779
Colorado,5877610,4662926,914038,0.083,103642
Connecticut,3617176,2894190,663318,0.075,4842
Delaware,1031890,819952,211844,0.055,1949
District of Columbia,678972,552380,87260,0.187,61
Florida,22610726,18229883,4794196,0.125,53625
Georgia,11029227,8490546,1645027,0.105,57513
Hawaii,1435138,1141525,294365,0.067,6423
Idaho,1964726,1497384,330452,0.074,82643
Illinois,12549689,9844167,2163297,0.097,55519
Indiana,6862199,5274945,1155678,0.064,35826
Iowa,3207004,2476882,586030,0.04,55857
Kansas,2940546,2246209,504017,0.071,81759
Kentucky,4526154,3509259,793007,0.11,39486
Louisiana,4573749,3506600,780061,0.134,43204
Maine,1395722,1146670,312224,0.122,30843
Maryland,6180253,4818337,1044209,0.046,9707
Massachusetts,7001399,5659598,1260538,0.111,7800
Michigan,10037261,7925350,1880335,0.084,56539
Minnesota,5737915,4436981,997532,0.068,79627
Mississippi,2939690,2259864,507540,0.149,46923
Missouri,6196156,4821686,1114355,0.101,68742
Montana,1132812,897161,225126,0.087,145546
Nebraska,1978379,1497381,333056,0.087,76824
Nevada,3194176,2508220,537004,0.093,109781
New Hampshire,1402054,1150004,281506,0.105,8953
New Jersey,9290841,7280551,1611767,0.075,7354
New Mexico,2114371,1663024,403403,0.144,121298
New York,19571216,15611308,3563576,0.119,47126
North Carolina,10835491,8498868,1861879,0.128,48618
North Dakota,783926,599192,129928,0.061,69001
Ohio,11785935,9207681,2162198,0.098,40861
Oklahoma,4053824,3087217,660895,0.154,68595
Oregon,4233358,3401528,815678,0.066,95988
Pennsylvania,12961683,10332678,2541926,0.099,44743
Puerto Rico,3205691,2707012,756849,0.402,3424
Rhode Island,1095962,892124,206410,0.071,1034
South Carolina,5373555,4229354,1008009,0.106,30061
South Dakota,919318,697420,163817,0.084,75811
Tennessee,7126489,5555761,1220989,0.102,41235
Texas,30503301,22942176,4027053,0.123,261232
Utah,3417734,2484582,405200,0.055,82170
Vermont,647464,532828,139451,0.073,9217
Virginia,8715698,6834154,1464988,0.128,39490
Washington,7812880,6164810,1308560,0.073,66456
West Virginia,1770071,1417859,376099,0.156,24038
Wisconsin,5910955,4661826,1102119,0.039,54158
Wyoming,584057,454508,108059,0.071,97093
